Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA BARAT,BANDUNG,LELE,2019,"5,372,785 "," Rp85,964,560,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG BARAT,LELE,2019,"1,328,082 "," Rp19,921,230,000 "
KOLAM AIR TENANG,JAWA BARAT,BEKASI,LELE,2019,"2,019,121 "," Rp34,325,057,000 "
KOLAM AIR TENANG,JAWA BARAT,BOGOR,LELE,2019,"89,814,340 "," Rp1,526,843,780,000 "
KOLAM AIR TENANG,JAWA BARAT,CIAMIS,LELE,2019,"18,162,827 "," Rp236,116,751,000 "
KOLAM AIR TENANG,JAWA BARAT,CIANJUR,LELE,2019,"14,124,120 "," Rp225,985,920,000 "
KOLAM AIR TENANG,JAWA BARAT,CIREBON,LELE,2019,"9,987,423 "," Rp199,748,460,000 "
KOLAM AIR TENANG,JAWA BARAT,GARUT,LELE,2019,"3,162,167 "," Rp53,756,839,000 "
KOLAM AIR TENANG,JAWA BARAT,INDRAMAYU,LELE,2019,"70,666,948 "," Rp1,060,004,220,000 "
KOLAM AIR TENANG,JAWA BARAT,KARAWANG,LELE,2019,"759,058 "," Rp9,108,696,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANDUNG,LELE,2019,"51,015 "," Rp867,255,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANJAR,LELE,2019,"290,733 "," Rp4,360,995,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BEKASI,LELE,2019,"1,232,020 "," Rp21,096,220,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BOGOR,LELE,2019,"2,249,790 "," Rp38,246,430,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIMAHI,LELE,2019,"207,624 "," Rp3,737,232,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIREBON,LELE,2019,"73,645 "," Rp1,104,675,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA DEPOK,LELE,2019,"105,600 "," Rp2,006,400,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA SUKABUMI,LELE,2019,"487,934 "," Rp9,758,680,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA TASIKMALAYA,LELE,2019,"1,415,171 "," Rp16,982,052,000 "
KOLAM AIR TENANG,JAWA BARAT,KUNINGAN,LELE,2019,"3,690,966 "," Rp63,800,373,000 "
KOLAM AIR TENANG,JAWA BARAT,MAJALENGKA,LELE,2019,"1,704,690 "," Rp28,979,730,000 "
KOLAM AIR TENANG,JAWA BARAT,PANGANDARAN,LELE,2019,"60,224 "," Rp978,712,400 "
KOLAM AIR TENANG,JAWA BARAT,PURWAKARTA,LELE,2019,"568,590 "," Rp8,810,290,000 "
KOLAM AIR TENANG,JAWA BARAT,SUBANG,LELE,2019,"2,672,040 "," Rp53,440,800,000 "
KOLAM AIR TENANG,JAWA BARAT,SUKABUMI,LELE,2019,"12,243,556 "," Rp171,409,784,000 "
KOLAM AIR TENANG,JAWA BARAT,SUMEDANG,LELE,2019,"125,302 "," Rp2,211,456,619 "
KOLAM AIR TENANG,JAWA BARAT,TASIKMALAYA,LELE,2019,"9,921,100 "," Rp148,816,500,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANJARNEGARA,LELE,2019,"12,293,455 "," Rp184,401,825,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANYUMAS,LELE,2019,"3,394,404 "," Rp69,893,172,000 "
KOLAM AIR TENANG,JAWA TENGAH,BATANG,LELE,2019,"1,286,154 "," Rp20,143,176,000 "
KOLAM AIR TENANG,JAWA TENGAH,BLORA,LELE,2019,"319,235 "," Rp5,426,995,000 "
KOLAM AIR TENANG,JAWA TENGAH,BOYOLALI,LELE,2019,"26,996,762 "," Rp431,948,192,000 "
KOLAM AIR TENANG,JAWA TENGAH,BREBES,LELE,2019,"1,709,490 "," Rp37,608,780,000 "
KOLAM AIR TENANG,JAWA TENGAH,CILACAP,LELE,2019,"2,552,880 "," Rp39,075,377,000 "
KOLAM AIR TENANG,JAWA TENGAH,DEMAK,LELE,2019,"23,823,963 "," Rp390,455,952,000 "
KOLAM AIR TENANG,JAWA TENGAH,GROBOGAN,LELE,2019,"2,114,666 "," Rp35,949,322,000 "
KOLAM AIR TENANG,JAWA TENGAH,JEPARA,LELE,2019,"4,961,137 "," Rp83,341,054,000 "
